carat,cut,color,clarity,depth,table,price
0.21,5,2,6,59.8,61.0,326
0.23,4,2,7,61.5,55.0,326
0.29,5,6,5,62.4,58.0,334
0.31,2,7,7,63.3,58.0,335
0.24,3,7,3,62.8,57.0,336
0.22,1,2,5,65.1,61.0,337
0.26,3,5,6,61.9,55.0,337
0.3,2,7,6,64.0,55.0,339
0.2,5,2,7,60.2,62.0,345
0.32,5,2,8,60.9,58.0,345
0.33,4,6,7,61.8,55.0,403
0.25,3,2,5,63.3,60.0,404
0.35,4,6,4,60.9,57.0,552
0.42,5,6,7,61.5,59.0,552
0.28,4,4,3,61.4,56.0,553
0.38,4,6,7,61.6,56.0,554
0.34,4,5,5,61.5,56.0,555
0.43,3,2,8,58.4,62.0,555
0.36,4,6,5,61.9,56.0,556
0.39,4,5,7,61.5,57.0,558
0.27,3,3,1,60.4,58.0,560
0.4,2,5,7,63.7,59.0,561
0.41,4,6,6,61.7,55.0,561
0.37,4,3,7,60.9,56.0,572
0.44,3,3,7,62.8,60.0,648
0.45,4,7,5,61.4,55.0,672
0.47,1,3,7,67.6,57.0,719
0.46,4,7,5,61.4,56.0,746
0.48,4,4,7,62.0,54.0,841
0.49,5,7,7,59.8,59.0,900
0.7,4,2,6,62.5,57.0,2457
0.86,1,2,7,55.1,69.0,2757
0.71,3,2,5,62.4,57.0,2380
0.78,3,4,7,63.8,56.0,2400
0.96,1,3,7,66.3,62.0,2759
0.73,3,2,6,61.6,59.0,2360
0.74,4,4,6,61.6,55.0,2418
0.75,3,1,6,63.2,56.0,2560
0.8,5,5,6,61.5,58.0,2660
0.59,4,2,3,62.0,55.0,2261
0.81,4,3,7,58.8,57.0,2761
0.9,5,6,5,63.0,58.0,2761
0.61,3,1,3,59.6,57.0,2310
0.77,4,5,5,62.0,56.0,2763
0.91,5,5,6,61.4,56.0,2763
0.63,5,2,2,60.9,60.0,2765
0.76,4,5,6,61.2,57.0,2765
0.64,4,4,2,61.9,56.0,2410
0.72,3,5,3,60.3,56.0,2771
0.79,4,3,7,61.9,55.0,2771
0.58,4,4,2,61.5,55.0,2100
0.6,4,2,4,61.7,55.0,2523
0.83,2,6,5,64.6,54.0,2774
1.17,3,7,8,60.2,61.0,2774
0.54,4,2,3,61.6,56.0,2089
0.98,1,5,7,67.9,60.0,2777
0.52,4,3,2,61.3,55.0,1950
1.01,5,3,8,61.8,60.0,2781
0.53,3,1,3,57.5,64.0,2156
0.84,1,4,6,55.1,67.0,2782
0.51,4,3,2,62.0,57.0,2001
0.55,4,4,1,60.9,57.0,2205
1.05,3,7,7,63.2,56.0,2789
0.87,3,6,6,63.6,55.8,2791
1.0,5,6,7,58.2,60.0,2795
0.57,4,3,3,61.9,55.0,1900
0.82,4,3,7,62.4,54.0,2499
1.04,5,4,8,62.2,58.0,2801
0.93,5,7,7,61.9,57.0,2807
1.2,1,3,8,64.6,56.0,2809
0.99,1,6,7,68.1,56.0,2811
0.89,5,5,7,60.2,59.0,2815
0.95,1,3,7,56.0,60.0,2815
1.02,5,4,8,60.3,58.0,2515
0.97,4,3,8,60.7,56.0,2830
0.56,3,2,1,61.0,59.0,2833
0.85,4,5,7,62.5,57.0,2833
0.92,4,1,7,61.9,56.0,2840
1.27,5,5,7,59.3,61.0,2845
0.66,4,1,4,62.1,56.0,2451
0.68,5,3,3,61.7,57.0,2554
1.12,5,5,8,59.1,61.0,2854
1.03,2,7,6,63.6,57.0,2855
0.62,4,4,3,61.6,56.0,2861
1.22,5,2,8,60.9,57.0,2862
1.08,5,1,8,61.9,60.0,2869
0.88,1,3,6,56.6,65.0,2882
0.5,4,2,3,62.2,54.0,2058
1.19,1,5,8,65.1,59.0,2892
0.65,4,3,3,61.3,56.0,2121
1.24,3,7,8,61.9,55.0,2940
1.5,1,5,8,65.6,54.0,2964
1.06,5,6,7,61.5,57.0,2968
1.13,1,5,8,64.8,59.0,2968
0.69,3,3,3,61.5,60.0,2993
1.14,4,7,6,60.2,57.0,3045
0.94,2,6,7,63.8,60.0,3079
1.29,2,6,8,64.2,54.0,3098
1.52,2,2,8,57.3,58.0,3105
1.16,1,5,7,68.2,55.0,3118
1.21,2,2,8,57.2,62.0,3144
1.23,4,5,8,61.6,55.0,3168
1.09,1,3,7,66.3,56.0,3170
0.67,3,4,2,62.0,56.0,2178
1.11,5,6,8,61.8,59.0,3183
1.1,5,7,7,60.0,58.0,3216
1.18,3,2,8,59.9,63.0,3219
1.15,5,5,7,60.4,58.0,3220
1.25,4,2,8,60.9,56.0,3276
1.07,3,5,7,61.8,63.0,3296
1.28,4,5,8,61.9,56.0,3355
1.51,2,4,8,64.0,59.0,3497
1.31,5,7,7,59.7,59.0,3697
1.26,1,5,7,64.9,60.0,3881
1.39,3,6,8,62.6,57.0,3914
1.44,5,7,7,58.2,58.0,4064
1.35,5,7,6,62.1,54.0,4082
1.3,3,7,5,63.3,57.0,4106
1.32,1,5,8,65.8,55.0,4140
1.41,1,5,8,64.7,58.0,4145
1.36,1,7,7,67.8,55.0,4158
1.45,1,3,8,64.8,67.0,4320
1.34,3,5,7,61.1,63.0,4352
1.58,5,6,8,60.2,61.0,4459
1.54,2,7,8,61.7,60.0,4492
1.38,2,7,7,63.7,58.0,4598
1.33,5,4,7,61.3,59.0,4634
1.74,3,5,8,63.2,55.0,4677
1.64,1,4,8,64.5,60.0,4849
1.47,1,5,8,66.7,59.0,4898
1.4,5,7,6,62.9,59.0,4939
1.55,2,4,8,63.6,58.0,4965
1.95,5,5,8,60.3,59.0,5045
2.0,5,7,8,61.5,59.0,5051
1.37,3,7,7,60.7,60.0,5063
1.83,1,7,8,70.0,58.0,5083
1.62,5,7,7,61.8,59.0,5157
1.57,4,5,8,62.8,56.0,5170
1.69,3,7,8,60.2,61.0,5182
2.06,5,7,8,61.2,58.0,5203
1.72,1,7,8,68.5,59.0,5240
1.66,5,6,7,60.0,59.0,5310
2.14,1,7,8,69.4,57.0,5405
1.49,2,6,7,64.3,59.0,5407
1.46,5,4,7,62.8,52.0,5421
2.15,1,7,8,65.5,57.0,5430
1.96,1,3,8,66.6,60.0,5554
2.22,1,7,8,66.7,56.0,5607
1.7,1,1,8,64.7,56.0,5617
1.53,4,5,7,59.6,57.0,5631
1.85,3,5,8,63.3,56.0,5688
2.01,1,6,8,67.4,58.0,5696
2.27,1,7,8,67.6,55.0,5733
1.68,2,2,8,64.3,60.0,5765
1.56,4,7,7,62.1,55.0,5766
1.81,1,7,8,68.0,57.0,5859
1.65,1,7,6,61.6,66.0,5914
1.82,1,5,8,67.3,58.0,5993
2.03,1,5,8,64.4,59.0,6002
1.73,1,5,7,65.9,58.0,6007
1.59,5,2,7,62.3,58.0,6010
1.42,4,6,5,62.9,57.0,6069
1.43,1,2,7,66.0,57.0,6086
2.08,5,5,8,61.7,57.0,6150
1.48,5,5,7,59.7,59.0,6216
1.6,1,3,7,65.0,56.0,6272
2.49,1,7,8,66.3,58.0,6289
1.71,4,7,6,62.8,57.0,6320
2.02,1,4,8,68.0,55.0,6346
2.07,1,4,8,67.7,56.0,6503
3.0,3,5,8,63.1,55.0,6512
2.21,5,5,8,62.2,58.0,6535
2.1,1,4,8,67.4,59.0,6597
1.91,1,5,7,64.6,56.0,6632
2.25,1,5,8,67.7,58.0,6653
2.17,1,4,8,55.6,62.0,6817
2.32,1,5,8,70.5,55.0,6860
2.72,1,7,8,68.2,56.0,6870
1.61,3,4,7,63.4,55.0,6915
2.23,3,4,8,63.5,57.0,7006
2.11,1,3,8,67.6,57.0,7019
2.05,2,4,8,56.9,58.0,7026
1.63,4,3,8,62.0,55.1,7100
2.3,5,4,8,60.2,59.0,7226
2.31,1,4,8,67.4,56.0,7257
1.75,4,5,8,61.5,54.9,7276
2.04,5,6,8,61.1,61.0,7403
2.12,5,4,8,60.0,58.0,7508
1.77,4,7,7,62.0,56.0,7771
2.5,1,4,8,64.7,57.0,7854
1.8,4,1,7,62.9,54.0,7862
1.67,3,7,6,62.3,59.0,7911
1.84,5,5,7,61.0,58.0,7922
2.2,1,6,8,66.3,56.0,7934
3.01,5,6,8,62.7,58.0,8040
1.88,2,7,7,57.9,59.0,8048
2.33,5,5,8,60.7,58.0,8220
2.68,5,4,8,58.6,60.0,8419
2.34,5,6,8,61.5,60.0,8491
1.9,1,5,7,67.1,64.0,8576
2.16,4,5,8,62.2,56.0,8709
2.74,1,7,8,64.9,61.0,8807
1.78,5,7,7,62.6,58.0,8889
1.76,3,7,7,60.9,60.0,9053
2.28,2,7,7,63.6,57.0,9068
1.79,2,4,7,57.8,59.0,9122
1.94,3,6,7,63.1,59.0,9344
2.43,5,4,8,61.7,60.0,9716
1.86,2,4,7,63.8,55.0,9791
3.11,1,7,8,65.9,57.0,9823
1.87,4,7,6,62.3,57.0,9955
2.09,5,6,7,60.1,59.0,10042
1.89,5,4,7,62.9,58.0,10055
2.52,1,4,8,66.9,57.0,10076
2.19,5,7,7,58.8,58.0,10179
2.18,3,2,8,62.0,60.0,10340
2.77,5,5,8,62.6,62.0,10424
2.63,3,7,8,62.3,61.0,10437
3.05,5,2,8,60.9,58.0,10453
2.46,5,2,7,59.7,59.0,10470
3.02,1,6,8,65.2,56.0,10577
2.38,5,7,7,60.6,59.0,10716
2.24,5,5,7,61.8,58.0,10913
2.26,5,5,7,61.9,58.0,11226
2.36,4,6,7,60.8,54.0,11238
1.99,5,4,7,59.1,61.0,11486
2.29,3,5,7,63.4,57.0,11502
3.65,1,5,8,67.1,53.0,11668
2.45,3,5,7,63.5,58.0,11830
2.4,4,6,7,62.8,57.0,11988
2.54,3,6,7,63.4,56.0,12095
3.24,5,5,8,62.1,58.0,12300
2.13,4,6,7,62.6,56.0,12356
2.58,1,3,7,65.2,59.0,12500
3.22,4,6,8,62.6,55.0,12545
3.5,4,5,8,62.8,57.0,12587
2.48,4,6,7,62.3,57.0,12883
1.98,1,5,4,58.3,69.0,12923
2.44,5,6,7,61.4,56.0,13027
2.75,4,1,8,60.9,57.0,13156
1.93,3,6,6,62.8,58.0,13278
2.41,5,6,7,60.7,59.0,13563
2.61,2,6,7,64.2,63.0,13784
2.35,5,6,6,61.8,58.0,14185
2.51,2,6,7,63.7,61.0,14209
2.7,3,5,7,63.1,56.0,14341
2.55,5,6,7,62.9,58.0,14351
1.97,5,3,7,61.1,58.0,14410
2.53,5,5,7,62.6,60.0,14659
2.37,5,6,5,61.6,56.0,14837
2.47,5,6,7,62.5,56.0,14970
2.8,5,6,7,61.1,59.0,15030
4.01,5,6,8,61.0,61.0,15223
2.56,2,7,7,63.6,62.0,15231
3.04,3,6,7,63.2,59.0,15354
1.92,3,2,7,62.5,59.0,15364
2.39,5,5,6,61.8,58.0,15917
3.4,1,1,8,66.8,52.0,15964
4.0,3,6,8,63.3,58.0,15984
3.67,5,6,8,62.4,56.0,16193
2.42,5,7,7,62.3,58.0,16198
2.66,2,5,7,63.8,57.0,16239
2.65,5,4,7,62.0,61.0,16314
2.59,4,7,4,61.7,56.0,16465
2.6,1,4,7,64.6,57.0,17027
2.57,5,2,7,61.3,60.0,17116
2.71,5,2,7,60.4,59.0,17146
4.13,1,5,8,64.8,61.0,17329
2.64,4,5,7,62.3,55.0,17407
5.01,1,7,8,65.5,59.0,18018
4.5,1,7,8,65.8,58.0,18531
2.67,2,3,7,63.8,58.0,18686
3.51,5,7,5,62.5,59.0,18701
